threshold,tp,fp,fn,tn,alerts_day,precision,recall,savings_day,cost_day,net_day,within_capacity
0.07622613065326633,3005,5996,1087,93342,256.95568436421934,0.3338517942450839,0.7343597262952102,14714.214856808472,1284.7784218210966,13429.436434987376,False
0.08124120603015075,3005,5996,1087,93342,256.95568436421934,0.3338517942450839,0.7343597262952102,14714.214856808472,1284.7784218210966,13429.436434987376,False
0.08625628140703517,3005,5996,1087,93342,256.95568436421934,0.3338517942450839,0.7343597262952102,14714.214856808472,1284.7784218210966,13429.436434987376,False
0.0912713567839196,2889,4772,1203,94566,218.70208842509544,0.37710481660357653,0.7060117302052786,14146.211887294401,1093.5104421254773,13052.701445168925,False
0.09628643216080401,2889,4772,1203,94566,218.70208842509544,0.37710481660357653,0.7060117302052786,14146.211887294401,1093.5104421254773,13052.701445168925,False
0.10130150753768843,2841,4325,1251,95013,204.57109589534448,0.3964554842310913,0.6942815249266863,13911.176175771338,1022.8554794767224,12888.320696294615,False
0.10631658291457287,2841,4325,1251,95013,204.57109589534448,0.3964554842310913,0.6942815249266863,13911.176175771338,1022.8554794767224,12888.320696294615,False
0.11133165829145729,2806,4039,1286,95299,195.40736134574837,0.4099342585829072,0.6857282502443792,13739.795969452436,977.0368067287419,12762.759162723694,True
0.11634673366834171,2662,2943,1430,96395,160.00851137223077,0.4749330954504906,0.6505376344086021,13034.688834883245,800.0425568611539,12234.646278022092,True
0.12136180904522613,2662,2943,1430,96395,160.00851137223077,0.4749330954504906,0.6505376344086021,13034.688834883245,800.0425568611539,12234.646278022092,True
0.12637688442211056,2662,2943,1430,96395,160.00851137223077,0.4749330954504906,0.6505376344086021,13034.688834883245,800.0425568611539,12234.646278022092,True
0.13139195979899498,2623,2680,1469,96658,151.38717855609988,0.4946256835753347,0.6410068426197458,12843.722319270757,756.9358927804994,12086.786426490258,True
0.1364070351758794,2623,2680,1469,96658,151.38717855609988,0.4946256835753347,0.6410068426197458,12843.722319270757,756.9358927804994,12086.786426490258,True
0.14142211055276382,2610,2598,1482,96740,148.67516988877392,0.5011520737327189,0.6378299120234604,12780.066814066593,743.3758494438697,12036.690964622723,True
0.14643718592964824,2596,2515,1496,96823,145.90606630213586,0.5079240853062023,0.6344086021505376,12711.514731539033,729.5303315106793,11981.984400028354,True
0.15145226130653267,2596,2515,1496,96823,145.90606630213586,0.5079240853062023,0.6344086021505376,12711.514731539033,729.5303315106793,11981.984400028354,True
0.15646733668341709,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.1614824120603015,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
0.16649748743718593,2541,2218,1551,97120,135.85736050320185,0.5339357007774742,0.6209677419354839,12442.20297875219,679.2868025160092,11762.91617623618,True
